time,P77_ZIT_1244001C,P77_ZIT_1244001D,P77_ZIT_1244002C,P77_ZIT_1244002D,P77_PIT_1244007C,P77_PIT_1244008C,P77_PIT_1244007D,P77_PIT_1244008D,P77_SDY_1210002C,P77_SDY_1210002D
15-nov-22 00:48:00,0,0,8.168749809,20.375,29794.33008,29893.20117,41155.59375,40997.94141,On,On
15-nov-22 00:49:00,0,0,8.168749809,20.375,29794.33008,29905.8418,40996.71875,40981.09766,On,On
15-nov-22 00:50:00,0,0,8.168749809,20.375,29810.78906,29901.66992,41274.02734,41114.06641,On,On
15-nov-22 00:51:00,0,0,8.168749809,20.375,29783.25781,29893.08008,40768.20703,40764.75,On,On
15-nov-22 00:52:00,0,0,8.168749809,20.38125038,29799.86719,29910.25977,41027.47656,41032.28906,On,On
15-nov-22 00:53:00,0,0,8.168749809,20.375,29794.85938,29888.6582,40944.98438,40767.23438,On,On
15-nov-22 00:54:00,0,0,8.168749809,20.38125038,29799.33398,29910.13281,40911.90234,40938.40625,On,On
15-nov-22 00:55:00,0,0,8.168749809,20.38125038,29814.00195,29901.66992,41405.40625,41092.64844,On,On
15-nov-22 00:56:00,0,0,8.16557312,20.37807274,29803.60352,29910.25977,40874.10547,40909.625,On,On
15-nov-22 00:57:00,0,0,8.168749809,20.38125038,29849.4375,29942.57031,41702.47266,41613.35938,On,On
15-nov-22 00:58:00,0,0,8.165668488,20.375,29781.44922,29886.61523,40683.80859,40577.40625,On,On
15-nov-22 00:59:00,0,0,8.165671349,20.38125038,29829.91016,29925.19336,41325.54297,41263.19531,On,On
15-nov-22 01:00:00,0,0,8.168749809,20.38125038,29791.45117,29897.31055,40853.88672,40874.06641,On,On
15-nov-22 01:01:00,0,0,8.165575981,20.38125038,29841.56055,29942.56055,41579.375,41606.09375,On,On
15-nov-22 01:02:00,0,0,8.168749809,20.375,29791.80273,29893.14648,40896.44531,40790.74219,On,On
15-nov-22 01:03:00,0,0,8.162500381,20.38125038,29795.03711,29903.78516,40814.93359,40801.08594,On,On
15-nov-22 01:04:00,0,0,8.168749809,20.37817192,29801.66211,29893.14844,40917.23438,40780.62109,On,On
15-nov-22 01:05:00,0,0,8.162500381,20.38125038,29788.9668,29918.84961,40724.80078,40674.6875,On,On
15-nov-22 01:06:00,0,0,8.168749809,20.38125038,29816.33008,29912.43164,41101.92578,40996.61719,On,On
15-nov-22 01:07:00,0,0,8.168749809,20.375,29790.0293,29884.54688,40626.37109,40522.23438,On,On
15-nov-22 01:08:00,0,0,8.165578842,20.37807846,29802.91016,29903.7832,40924.16797,40792.35938,On,On
15-nov-22 01:09:00,0,0,8.165663719,20.38441467,29811.5,29916.61914,41248.55469,41230.75391,On,On
15-nov-22 01:10:00,0,0,8.165667534,20.375,29785.74023,29897.31641,40749.37109,40708.80078,On,On
15-nov-22 01:11:00,0,0,8.162500381,20.38125038,29799.16016,29903.8457,40994.76172,40972.57813,On,On
15-nov-22 01:12:00,0,0,8.165665627,20.38125038,29777.15039,29878.08203,40571.64063,40468.3125,On,On
15-nov-22 01:13:00,0,0,8.16559124,20.38125038,29782.70898,29897.42188,40774.39063,40771.14063,On,On
15-nov-22 01:14:00,0,0,8.165657043,20.38125038,29815.07031,29912.38281,41308.90625,41284.74609,On,On
