time,P77_ZIT_1244001C,P77_ZIT_1244001D,P77_ZIT_1244002C,P77_ZIT_1244002D
15-nov-22 01:37:00,0,0,8.162500381,20.375
15-nov-22 01:38:00,0,0,8.162500381,20.36874962
15-nov-22 01:39:00,0,0,8.162500381,20.37811089
15-nov-22 01:40:00,0,0,8.162500381,20.36874962
15-nov-22 01:41:00,0,0,8.162500381,20.37190056
15-nov-22 01:42:00,0,0,8.162500381,20.36874962
15-nov-22 01:43:00,0,0,8.162500381,20.375
15-nov-22 01:44:00,0,0,8.162500381,20.375
15-nov-22 01:45:00,0,0,8.162500381,20.36874962
15-nov-22 01:46:00,0,0,8.162500381,20.36874962
15-nov-22 01:47:00,0,0,8.162500381,20.36874962
15-nov-22 01:48:00,0,0,8.159394264,20.37185669
15-nov-22 01:49:00,0,0,8.162500381,20.375
15-nov-22 01:50:00,0,0,8.162500381,20.36874962
15-nov-22 01:51:00,0,0,8.159384727,20.375
15-nov-22 01:52:00,0,0,8.162500381,20.37188911
15-nov-22 01:53:00,0,0,8.162500381,20.3718586
15-nov-22 01:54:00,0,0,8.162500381,20.37184525
15-nov-22 01:55:00,0,0,8.162500381,20.36874962
15-nov-22 01:56:00,0,0,8.162500381,20.37189484
15-nov-22 01:57:00,0,0,8.162500381,20.36249924
15-nov-22 01:58:00,0,0,8.159352303,20.37185287
15-nov-22 01:59:00,0,0,8.162500381,20.37185478
15-nov-22 02:00:00,0,0,8.159399986,20.36874962
15-nov-22 02:01:00,0,0,8.162500381,20.36874962
15-nov-22 02:02:00,0,0,8.162500381,20.36249924
15-nov-22 02:03:00,0,0,8.162500381,20.36874962
15-nov-22 02:04:00,0,0,8.162500381,20.375
15-nov-22 02:05:00,0,0,8.162500381,20.37187386
15-nov-22 02:06:00,0,0,8.162500381,20.375
15-nov-22 02:07:00,0,0,8.162500381,20.36874962
15-nov-22 02:08:00,0,0,8.162500381,20.375
15-nov-22 02:09:00,0,0,8.162500381,20.37187386
15-nov-22 02:10:00,0,0,8.162500381,20.375
15-nov-22 02:11:00,0,0,8.162500381,20.37188148
